rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
94.95392123958334,2048,3,555,1,21.114583333333332,,,,,,,,,,,
95.47348504000001,4096,9,420,2,21.33,0.2208984375,0.2,1.0003958940505981,10,0.020598304,0.0003,1053.449667930603,-24.127249825000764,-0.055741761106764896,0.004843413829803467,416.57415771484375
104.61338475999999,6144,16,380,3,23.33,0.25234375,0.2,0.9987784028053284,20,0.024109976,0.0003,919.9030920028687,-24.111748665571213,-0.0667976449301932,0.031019091606140137,399.67730712890625
105.98651808000001,8192,22,368,4,23.51,0.29765625,0.2,0.9977917671203613,30,0.025642943,0.0003,978.3925359725952,-24.092620491981506,-0.07316540443571284,0.025763750076293945,339.9214172363281
114.17033384999999,10240,28,357,5,25.26,0.321630859375,0.2,0.9981979131698608,40,0.030651601,0.0003,851.6337542533875,-24.096627551317216,-0.07800006730831228,0.02072000503540039,410.6724853515625
122.96828941999998,12288,34,351,6,27.19,0.329638671875,0.2,0.9990258812904358,50,0.030830748,0.0003,996.9864488601685,-24.10053585767746,-0.07961709927767516,0.02214062213897705,386.0173034667969
123.29027174000001,14336,41,347,7,27.07,0.3244140625,0.2,0.996569812297821,60,0.029130682,0.0003,1061.2502191543579,-24.07900243997574,-0.0776446798525285,0.01721411943435669,419.4632568359375
119.12568426,16384,47,343,8,26.41,0.30849609375,0.2,0.9974876642227173,70,0.026611708,0.0003,880.4434950828552,-24.079606229066847,-0.07783569069288206,0.06397545337677002,314.0290222167969
124.62678329999999,18432,54,340,9,27.72,0.2919921875,0.2,0.9964598417282104,80,0.025224615,0.0003,760.2525324821472,-24.069505715370177,-0.07709865017677657,0.2714296579360962,346.0516662597656
139.42032652,20480,60,340,10,30.78,0.21572265625,0.2,0.9945331811904907,90,0.021282114,0.0003,846.9257503509522,-24.03785220980644,-0.0654560902097728,0.3307620882987976,488.4890441894531
