rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
101.1525532111111,2048,3,545,1,22.711111111111112,,,,,,,,,,,
99.04398891999998,4096,9,415,2,22.37,0.1900390625,0.2,0.9987348914146423,10,0.018209238,0.0003,1316.1059562683106,-24.108528274297715,-0.05547659130534157,0.002513706684112549,468.86602783203125
107.38560123,6144,16,378,3,24.03,0.2376953125,0.2,0.9989027380943298,20,0.023223182,0.0003,910.3578371047973,-24.104346024990082,-0.06817331425554585,0.02819991111755371,446.1075134277344
107.98192988999999,8192,22,366,4,24.18,0.281396484375,0.2,0.9978585243225098,30,0.025971424,0.0003,964.3999883651734,-24.090662413835524,-0.07404486686282326,0.013519644737243652,331.9274597167969
108.58040414000001,10240,28,360,5,24.37,0.33544921875,0.2,0.994347870349884,40,0.03042464,0.0003,888.5062576293946,-24.049074870347976,-0.08381491536856629,0.02878272533416748,280.1925048828125
111.41817379999999,12288,34,355,6,24.83,0.362060546875,0.2,0.9910321235656738,50,0.03453782,0.0003,844.2658201217652,-23.98264872431755,-0.0855921481270343,0.03583800792694092,324.61627197265625
106.98813421999999,14336,40,352,7,23.94,0.36162109375,0.2,0.9884413480758667,60,0.032113586,0.0003,836.5092945098877,-23.939417666196825,-0.08560592117719353,0.031868934631347656,367.82794189453125
118.89296444,16384,47,347,8,26.6,0.26552734375,0.2,0.9864895939826965,70,0.024230761,0.0003,786.1970571517944,-23.90684566497803,-0.07710621213773265,0.05991297960281372,413.0769348144531
126.52532854999998,18432,53,344,9,28.13,0.202099609375,0.2,0.9877246618270874,80,0.020391544,0.0003,967.0733917236328,-23.90442782640457,-0.06743929432705045,0.07550692558288574,551.0330200195312
119.19241231,20480,59,343,10,26.55,0.21279296875,0.2,0.9895809292793274,90,0.020422144,0.0003,913.2048473358154,-23.931343710422517,-0.06980457139143255,0.1234273910522461,342.5570068359375
