rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
98.62485635869564,2048,3,548,1,22.043478260869566,,,,,,,,,,,
101.88684320999997,4096,9,418,2,22.71,0.139892578125,0.2,1.001226782798767,10,0.0131987855,0.0003,1209.1462770462035,-24.137640088796616,-0.03546579499379732,-0.006886839866638184,398.8874206542969
112.94885045999999,6144,16,380,3,25.23,0.159521484375,0.2,1.0006957054138184,20,0.014816825,0.0003,1050.9341346740723,-24.14228811264038,-0.03727602929284331,0.00356137752532959,445.0633239746094
110.57930029,8192,22,364,4,24.73,0.1693359375,0.2,1.0017927885055542,30,0.016411427,0.0003,1068.5389232635498,-24.145757883787155,-0.03786747517006006,0.011718988418579102,446.0680236816406
117.90565814,10240,28,354,5,26.3,0.21005859375,0.2,0.9966421723365784,40,0.019307515,0.0003,991.7097578048706,-24.102576553821564,-0.04146711860375944,0.01838064193725586,464.6303405761719
129.01664270999999,12288,35,348,6,28.82,0.217333984375,0.2,0.993573784828186,50,0.019957539,0.0003,1004.4172657012939,-24.037918674945832,-0.04330010549747385,0.020210683345794678,364.5445251464844
136.33520456000002,14336,41,343,7,30.53,0.23955078125,0.2,0.9941630959510803,60,0.02397862,0.0003,1042.1176458358764,-24.012938368320466,-0.0509966246841941,0.027587890625,447.68084716796875
141.70005025999998,16384,48,340,8,31.43,0.219775390625,0.2,0.9886231422424316,70,0.021600187,0.0003,1164.9743362426757,-23.95638901591301,-0.04727597577148117,0.025547266006469727,486.2894592285156
152.32234298999998,18432,54,338,9,33.73,0.1923828125,0.2,0.9870296120643616,80,0.019072944,0.0003,1196.8171085357667,-23.905134987831115,-0.0424993698252365,0.013563096523284912,535.30712890625
158.07654184999998,20480,60,336,10,34.91,0.181005859375,0.2,0.9867733120918274,90,0.019105714,0.0003,1328.258560180664,-23.88991147875786,-0.04084259586816188,0.024867117404937744,562.56103515625
