rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
101.07813304494381,2048,3,552,1,22.707865168539325,,,,,,,,,,,
104.59125420999999,4096,9,434,2,23.35,0.147705078125,0.2,1.0004209280014038,10,0.010687402,0.0003,1133.9991779327393,-24.12603377699852,-0.023741444514598697,-0.006493091583251953,492.03192138671875
104.62351428000002,6144,15,387,3,23.55,0.18818359375,0.2,0.9975191950798035,20,0.016539715,0.0003,1074.4926431655883,-24.101135712862014,-0.03070583878434263,0.03713119029998779,422.26629638671875
109.53860823000001,8192,21,373,4,24.74,0.180224609375,0.2,0.9962465763092041,30,0.015425744,0.0003,931.5646207809448,-24.06510614156723,-0.03094240383070428,0.0205802321434021,440.25885009765625
109.44700869,10240,27,365,5,24.75,0.220947265625,0.2,0.9970040917396545,40,0.02009894,0.0003,935.9224258422852,-24.07238326072693,-0.0362109607696766,0.01838541030883789,412.013671875
124.77069397000001,12288,34,361,6,28.04,0.208056640625,0.2,0.9923699498176575,50,0.019822953,0.0003,886.9233726501465,-24.018116694688796,-0.03333463412709534,0.01933133602142334,490.9975891113281
136.03680355999998,14336,40,354,7,30.36,0.231298828125,0.2,0.9911773800849915,60,0.01943315,0.0003,1085.5120185852052,-23.976174956560136,-0.041868512035580355,0.02984309196472168,375.06817626953125
136.68087301999995,16384,46,352,8,30.38,0.21611328125,0.2,0.9930751919746399,70,0.018516965,0.0003,1151.080277633667,-23.98871738910675,-0.03763360176526476,0.013083696365356445,496.86572265625
149.76410123999997,18432,52,350,9,33.12,0.16806640625,0.2,0.9958610534667969,80,0.014284061,0.0003,1052.4345163345338,-24.023597300052643,-0.03729592207528185,0.0466952919960022,456.2721862792969
160.74763334000002,20480,58,350,10,35.57,0.147314453125,0.2,0.99559086561203,90,0.0137505,0.0003,1209.8783184051513,-24.042851942777634,-0.036148609750671315,0.1929231882095337,583.3592529296875
