time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/std
1,3,100.09379563736263,22.395604395604394,641,2048,,,,,,,,,,,
2,9,101.70213908,22.82,411,4096,0.020369101,-24.16937581896782,10,-0.05702685628202744,474.44073486328125,0.0003,0.22734375,-0.01384425163269043,1165.14585647583,0.2,1.0041865110397339
3,16,107.06161707000001,24.04,376,6144,0.025130387,-24.180328685045243,20,-0.06671689579961822,402.68280029296875,0.0003,0.25380859375,0.027872145175933838,1002.3645925521851,0.2,1.0033068656921387
4,22,106.13117596000002,23.76,370,8192,0.025729528,-24.12422211766243,30,-0.07514313424180727,306.56121826171875,0.0003,0.291357421875,0.02503877878189087,925.1679750442505,0.2,0.9989308714866638
