rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
106.95052799999999,23.25,1634,93,0,4,,,,,,
111.112348625,24.25,121,194,1,8,93,-22.264400482177734,41.26921081542969,0.9722403883934021,0.0003,-0.7763700485229492
102.75135633333332,22.416666666666668,104,269,2,12,168,-26.595783233642578,53.56230163574219,0.9488008618354797,0.0003,-1.4689419269561768
99.9482290625,21.6875,96,347,3,16,246,-29.713747024536133,41.02136993408203,0.9257394075393677,0.0003,-2.159119129180908
105.24566725,22.65,94,453,4,20,352,-34.13688659667969,37.913578033447266,0.8958143591880798,0.0003,-3.0506861209869385
102.24105095833333,22.0,87,528,6,24,427,-38.34648132324219,23.033824920654297,0.8755491375923157,0.0003,-3.658693313598633
100.06880724999998,21.535714285714285,79,603,7,28,502,-41.04981231689453,26.10773468017578,0.8560959696769714,0.0003,-4.160731792449951
97.47479325,21.03125,76,673,8,32,572,-44.13182830810547,16.716297149658203,0.8385959267616272,0.0003,-4.668045997619629
95.45056669444445,20.61111111111111,76,742,9,36,641,-48.777313232421875,17.070812225341797,0.8218031525611877,0.0003,-5.147549152374268
93.589811,20.225,77,809,10,40,708,-51.072425842285156,16.2546329498291,0.8058617115020752,0.0003,-5.663725852966309
94.36453568181818,20.318181818181817,78,894,11,44,793,-53.658626556396484,14.138908386230469,0.7859829068183899,0.0003,-6.357056617736816
93.41450147916665,20.104166666666668,79,965,12,48,864,-57.859092712402344,12.90286636352539,0.7695691585540771,0.0003,-6.948143482208252
92.36999332692307,19.903846153846153,79,1035,12,52,934,-60.333126068115234,14.263444900512695,0.7535996437072754,0.0003,-7.565577507019043
92.39823344642858,19.910714285714285,77,1115,14,56,1014,-59.51079177856445,26.48831558227539,0.7356835007667542,0.0003,-8.298958778381348
95.41188895,20.516666666666666,73,1231,16,60,1130,-62.04247283935547,24.182357788085938,0.7102549076080322,0.0003,-9.377474784851074
94.6521128125,20.390625,71,1305,18,64,1204,-67.01255798339844,20.132888793945312,0.6945125460624695,0.0003,-9.937747955322266
