rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
99.22287141304348,2048,3,545,1,22.141304347826086,,,,,,,,,,,
92.92331467,4096,9,419,2,20.83,0.225830078125,0.2,0.9999553561210632,10,0.018570857,0.0003,1479.5599609375,-24.12121111750603,-0.06106617775512859,-0.0001519918441772461,518.5654907226562
98.22283557000003,6144,16,382,3,21.9,0.141943359375,0.2,0.9968318939208984,20,0.01361106,0.0003,1047.3116428375245,-24.087182933092116,-0.05231375010916963,-0.012746334075927734,363.55841064453125
102.75466361999996,8192,22,369,4,22.88,0.150341796875,0.2,0.9985675811767578,30,0.015589672,0.0003,926.0420989990234,-24.089833050966263,-0.054483857133891436,-0.027143478393554688,494.19439697265625
101.91673143,10240,28,359,5,22.62,0.2115234375,0.2,0.9981126189231873,40,0.02167046,0.0003,922.7396404266358,-24.088934963941576,-0.06118933962716255,-0.001589059829711914,413.3057556152344
111.53735391000002,12288,34,352,6,24.83,0.25341796875,0.2,0.9957588315010071,50,0.026342932,0.0003,796.7126000404357,-24.069676381349563,-0.06456273315707221,-0.03482556343078613,370.82623291015625
113.15396520999998,14336,41,348,7,25.39,0.254931640625,0.2,0.9952285885810852,60,0.030504832,0.0003,882.3638381958008,-24.046535247564314,-0.06604108470783103,0.0027369260787963867,394.8146057128906
110.01203925000002,16384,47,344,8,24.6,0.2740234375,0.2,0.9905804991722107,70,0.030476917,0.0003,884.6933963775634,-23.998734551668168,-0.06571992325771134,-0.0123673677444458,412.7510070800781
116.63629029999998,18432,53,342,9,25.97,0.33486328125,0.2,0.9865478277206421,80,0.036911067,0.0003,862.6374656677247,-23.921301752328873,-0.07484936991822906,0.011002898216247559,410.6795654296875
120.61221519999998,20480,60,339,10,26.94,0.272607421875,0.2,0.9859480261802673,90,0.028498473,0.0003,965.1675867080688,-23.88548078536987,-0.07137940729735419,0.011305689811706543,468.3404235839844
