rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
92.97079164285715,2048,3,543,1,20.867346938775512,,,,,,,,,,,
97.84290735,4096,9,417,2,21.88,0.2150390625,0.2,0.9983066320419312,10,0.017326087,0.0003,1276.7182920455932,-24.09726847410202,-0.05906925074523315,-0.001055598258972168,542.9254760742188
97.78577382000003,6144,16,380,3,21.97,0.152978515625,0.2,0.9986132383346558,20,0.014735462,0.0003,1098.5299114227296,-24.097242069244384,-0.052775385355926116,-0.03993725776672363,428.5036315917969
101.73268010000001,8192,22,364,4,22.83,0.197216796875,0.2,0.9978985786437988,30,0.021565257,0.0003,875.0577352523803,-24.098639702796937,-0.06024616939539555,-0.008963584899902344,303.4366760253906
101.48461275,10240,28,355,5,22.7,0.26484375,0.2,0.9979053735733032,40,0.027198903,0.0003,782.5452054977417,-24.09603182077408,-0.0690274818247417,0.013438403606414795,270.5831298828125
101.00242338000002,12288,35,349,6,22.5,0.3384765625,0.2,0.9951038360595703,50,0.036633648,0.0003,734.7312643051148,-24.057137149572373,-0.07557272013509646,-0.0029810667037963867,309.8358459472656
114.12643865999999,14336,41,345,7,25.17,0.281396484375,0.2,0.993895947933197,60,0.03180351,0.0003,766.8742295265198,-24.021633744239807,-0.06796287650358863,-0.018202543258666992,426.20281982421875
114.30057081,16384,47,342,8,25.34,0.282373046875,0.2,0.9908009767532349,70,0.032321364,0.0003,991.0875148773193,-23.993527323007584,-0.0714701397024328,-0.00985264778137207,411.5336608886719
121.09236193000001,18432,54,339,9,26.78,0.3357421875,0.2,0.9877009987831116,80,0.03793007,0.0003,941.6002298355103,-23.925928556919096,-0.0712796233012341,-0.002245306968688965,398.546630859375
129.29582456999998,20480,60,338,10,28.54,0.27568359375,0.2,0.9854682683944702,90,0.028613728,0.0003,1020.6453256607056,-23.888883846998215,-0.07014992529293522,-0.003802180290222168,496.7525939941406
