rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
98.92690611956523,2048,3,531,1,22.119565217391305,,,,,,,,,,,
103.28859697,4096,9,411,2,23.47,0.21162109375,0.2,0.9991462826728821,10,0.018260881,0.0003,1270.680277633667,-24.113659995794297,-0.05289255387324374,0.000583350658416748,440.5499267578125
106.86058013999998,6144,16,382,3,24.02,0.24365234375,0.2,0.9980363249778748,20,0.022786561,0.0003,1033.4607246398925,-24.1053193628788,-0.06810747981071472,0.0021671056747436523,343.04742431640625
114.82379535000004,8192,22,365,4,25.5,0.291796875,0.2,0.9983430504798889,30,0.025814295,0.0003,980.3896171569825,-24.099120062589645,-0.07799283035856205,0.0011453628540039062,421.2574157714844
106.57169423,10240,28,356,5,23.84,0.323095703125,0.2,0.9952391386032104,40,0.028186891,0.0003,989.3219856262207,-24.05553842186928,-0.08320973890658934,0.0010851621627807617,535.2362670898438
103.70402543999998,12288,35,350,6,23.07,0.361767578125,0.2,0.9952846169471741,50,0.027983263,0.0003,810.6057861328125,-24.042864280939103,-0.08653758658329025,0.0013663768768310547,335.1012268066406
103.76759306999999,14336,41,346,7,23.31,0.262060546875,0.2,0.9939166903495789,60,0.021878375,0.0003,795.3430501937867,-24.027845239639284,-0.07402830286009703,0.03214704990386963,521.5458984375
109.33781752000003,16384,47,342,8,24.45,0.1896484375,0.2,0.9927361607551575,70,0.017008878,0.0003,717.2689343452454,-24.005137890577316,-0.06598726939118933,0.0724564790725708,289.7958679199219
117.07254379,18432,54,339,9,26.11,0.16376953125,0.2,0.9917281866073608,80,0.015016617,0.0003,692.1319684028625,-23.98627945780754,-0.05998532450175844,0.22778886556625366,292.3194885253906
120.86250181999999,20480,60,337,10,26.97,0.14248046875,0.2,0.9913332462310791,90,0.014421046,0.0003,696.8392292022705,-23.97499489188194,-0.05680082655162551,0.36222195625305176,359.1822814941406
