rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/clip_range,train/std,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss
100.45326124444442,2048,3,551,1,22.58888888888889,,,,,,,,,,,
97.82316503,4096,9,418,2,21.94,0.2076171875,0.2,0.999969482421875,10,0.017098557,0.0003,1315.884942817688,-24.11911302804947,-0.056668582334532404,-0.0036716461181640625,455.645263671875
101.18622089,6144,15,388,3,22.47,0.2166015625,0.2,0.9966827034950256,20,0.022072885,0.0003,956.069846534729,-24.087883120775224,-0.06209360752836801,0.02559298276901245,332.7649230957031
101.40053497999999,8192,21,374,4,22.68,0.305712890625,0.2,0.9912264347076416,30,0.029469006,0.0003,851.3259647369384,-23.998899030685426,-0.0785328057827428,0.027512311935424805,357.6570129394531
102.52848538,10240,28,362,5,22.96,0.336474609375,0.2,0.9901285767555237,40,0.034398217,0.0003,773.3794907569885,-23.956827521324158,-0.08316666774917394,0.019838571548461914,375.4591979980469
108.95872427,12288,34,357,6,24.2,0.355859375,0.2,0.9888166785240173,50,0.035566963,0.0003,791.3173847198486,-23.93909196257591,-0.0833473022095859,0.019372522830963135,385.107177734375
106.85950025,14336,40,352,7,23.96,0.355419921875,0.2,0.9884530305862427,60,0.034677878,0.0003,863.6480318069458,-23.92633064389229,-0.08766346571792383,0.024295926094055176,396.3512268066406
112.53331552000002,16384,47,347,8,25.29,0.287060546875,0.2,0.98869389295578,70,0.026467748,0.0003,783.9791795730591,-23.925794583559036,-0.07820586153829936,0.035050928592681885,325.41961669921875
114.64032163999998,18432,53,344,9,25.75,0.21767578125,0.2,0.9867841005325317,80,0.020444198,0.0003,819.2146339416504,-23.909005588293077,-0.07060576514923014,0.09894895553588867,307.9109191894531
118.66693495,20480,59,341,10,26.66,0.176806640625,0.2,0.9865950345993042,90,0.017725224,0.0003,818.5299520492554,-23.891749864816667,-0.06454156336549204,0.1374630331993103,405.1436767578125
